id,name,c1,c2,c3,story,nav,win,lose,dealer,doctor,weather,ninja
11,Marocco,18,17,16,"You have reached out to Marocco.  In the Sahara Desert, the sandy dunes become the perfect waves to surf on your own sand board or sand ski! Just pick one of the massive golden dunes around and have fun!",Press[1] to got to Hiroshima --- Press[2] to got to Maldives --- Press[3] to got to Kerala,0,0,1,1,1,0
12,Egypt,16,15,14,"Welcome to Cairo. You are going to visit Khafre Pyramid in a second. Before you go, here are some facts about it. The Pyramid of Khafre is the second tallest pyramid in Giza and contains Pharaoh Khafre’s tomb. A unique feature built inside Khafre’s pyramid complex was the Great Sphinx, a guardian statue carved in limestone with the head of a man and the body of a lion. It was the largest statue in the ancient world, measuring 240 feet long and 66 feet high.",Press[1] to got to Kerala --- Press[2] to got to Toronto --- Press[3] to got to Sudbury,0,0,0,0,0,0
13,Israel,14,13,12,"Alert! You are now in Jerusalem. Mossad, the national intelligence unit of Israel is after you. Change the location immediately.",Press[1] to got to Sudbury --- Press[2] to got to Israel --- Press[3] to got to Egypt,0,0,1,1,0,0
14,Sudbury,12,11,10,"Hey. You have come to Sudbury, Ontario. Greater Sudbury is geographically the largest city in Ontario and the most populous in Northern Ontario. With nine operating mines, two mills, two smelters, and a nickel refinery, Sudbury is arguably the hard rock mining capital of the world.Sudbury is home to a major geological structure in Ontario, Canada called the Sudbury Basin which is the third-largest crater on Earth, as well as one of the oldest. Go out and enjoy.",Press[1] to got to Egypt --- Press[2] to got to Marocco --- Press[3] to got to Ireland,0,0,1,1,1,1
15,Toronto,10,9,8,Welcome to Toronto.  Toronto is the proud home of citizens representing over 200 distinct ethnic origins. The PATH is a collection of tunnels and walkways that connect some 70 buildings in downtown Toronto. There are apparently over 1200 retail stores in the PATH. In total there are over 30 kilometres of underground space. The PATH is the largest underground shopping complex in the world. ,Press[1] to got to Ireland --- Press[2] to got to Burj Khalifa --- Press[3] to got to Lion Air,0,0,0,0,0,1
16,Kerala,8,7,6,"Welcome to Kerla. With a network of 44 rivers and turquoise blue backwaters, Kerala basks in the lap of nature. This pristine and serene state lies in the South - Eastern part of India and is much favoured due to its exotic wildlife, herbs, emerald green hill stations and the crystal clear Arabian Sea along its coast. It is indeed God's own country.","Press[1] to got to Lion Air --- Press[2] to got to Glacier Express, Switzerland --- Press[3] to got to BOLIVIA",0,0,0,1,0,0
17,Maldives,6,5,4,The Maldives is one of the most popular tropical vacation locations and has been recognised by the international tourism community as well. The Maldives is one of the most popular tropical vacation locations and has been recognised by the international tourism community as well.,"Press[1] to got to BOLIVIA --- Press[2] to got to Lake Michigan, USA --- Press[3] to got to Amazon River, America",0,0,1,0,1,0
18,Hiroshima,4,3,1,"Welcome to Hiroshima, a modern city on Japan’s Honshu Island, that was largely destroyed by an atomic bomb during World War II. Today, Hiroshima Peace Memorial Park commemorates the 1945 event. In the park are the ruins of Genbaku Dome, one of the few buildings that was left standing near ground zero. Other prominent sites include Shukkei-en, a formal Japanese garden, and Hiroshima Castle, a fortress surrounded by a moat and a park. ","Press[1] to got to Amazon River, America --- Press[2] to got to Mount Everest, Napal --- Press[3] to got to Castle Treehouse - British Columbia, Canada",0,0,0,0,1,0
19,Sinharaja,,,,"Congratulations........! You discovered the treasure of Sinharaja
You got 50 kg of gold and 10 Kg of diamonds

The Sinharaja Forest Reserve is a 6,092-hectare national park located in Sri Lanka. The Sinharaja Forest is one of Sri Lanka's last remaining undisturbed rainforest, located in the wet zone of the island and only accessible by foot. There are 830 endemic species in Sri Lanka, and many of these can be found in Sinharaja Forest Reserve. Sinharaja is translated to mean lion (Sinha) and king (raja), a name chosen because of a legend involving a princess and lion king. ",,1,0,,,,
20,Hellish Island,,,,Game Over…....! You have come to the hellish island. There is no way out of this place. You are going to die without food and water.,,0,1,,,,
